CH0 - 240.0,CH0 - 160.0,CH0 - 40.0,CH0 - 0.0,CH0 - 200.0,CH0 - 80.0,CH0 - 120.0
-110.0,-45.55343647908214,-38.10849167738731,-34.973864464896856,-46.954168842740955,-40.80220170238181,-42.38476644773862
-110.0,-45.8439587626291,-38.185545842472315,-34.980341262849066,-46.835272791053626,-40.765062625656654,-42.52317302339392
-110.0,-45.38887616149728,-38.14503841103968,-34.99832758584895,-46.9436521474958,-40.58007120130811,-42.29685416375822
-110.0,-45.83999543892173,-38.04984551287976,-35.042951615428244,-46.70720479594168,-40.62945743766299,-42.26321344670575
-61.8699406724715,-45.35119106559671,-38.103619435290945,-35.10092085819352,-46.880897109615674,-40.78300982998808,-42.50772575101999
-60.95671216102629,-45.0778229049815,-38.180089622225964,-35.085378069446094,-46.88509450883576,-40.60469566621088,-42.45666437840328
-110.0,-45.50195031765982,-38.34876838477976,-35.068274292574664,-46.49878293472017,-40.6266431453005,-42.556691758078514
-110.0,-45.63772457035208,-38.27740701861879,-35.06522850437929,-46.85861971955735,-40.59192328430618,-42.71427485094744
-110.0,-45.24527600468063,-38.146202746356714,-35.05212493972532,-46.772357304164586,-40.94180774177574,-42.58722140994993
-54.91999734164446,-45.66943441146172,-38.08898510781174,-35.11939298952356,-46.70720479594168,-40.838044893746684,-42.77923649331272
-110.0,-45.45217902955861,-38.08555066035738,-35.22850372851059,-47.035617094803726,-40.669760414357654,-42.91214960845328
-110.0,-45.63977297644483,-38.114530902103084,-35.29574894194334,-46.254679868425924,-40.69803420975704,-42.845184604628614
-110.0,-44.89358370004403,-37.98567443216636,-35.36793448164816,-45.96727153174025,-40.761303337436,-43.01457387086064
-62.818660926252846,-44.851195495167616,-38.0316975869807,-35.2923982495943,-46.956788744421914,-40.717198174174236,-43.01457387086064
-57.75433711925383,-45.40527723098519,-38.1509434364332,-35.20656100032375,-46.956777213821226,-40.71353066233214,-42.83641686623592
-110.0,-45.22192051221796,-38.19906611417507,-35.173664770354634,-46.11756343225716,-40.761303337436,-42.714274851288714
-110.0,-45.49199101972509,-38.20424114162445,-35.154539408484986,-46.35788974897922,-40.724101491435675,-42.85899834416395
-56.83106394034343,-46.02312244172067,-38.05998551078322,-35.1124877498959,-46.40698600722786,-40.76644607685283,-43.01457387086064
-110.0,-45.77890075736639,-37.937101659897685,-35.17586729833229,-46.68843090374712,-40.899826416973085,-42.96307021821387
-54.760507445987116,-45.73355725340413,-37.937101659897685,-35.197954233355006,-46.38692070669515,-40.77408274623317,-42.83091079840066
-65.86232411816654,-45.73355725340413,-37.97558022434022,-35.19928302831851,-46.63129367270375,-40.85481747611614,-42.724469648665966
-59.04618266461067,-45.73355725340413,-37.98567443216636,-35.19928302831851,-46.95231046501648,-40.61289055651655,-42.853965897355664
-110.0,-45.636032344270134,-37.95958576254492,-35.170905884308695,-47.087093238607764,-40.512465626140575,-42.737658214042185
-57.275700222171565,-45.45217902890472,-37.99963564768053,-35.125541814324485,-46.91413946401953,-40.49223219871883,-42.60747337351502
-54.29381830051997,-45.532171349283814,-38.051868888876555,-35.09766353147982,-46.574530816899426,-40.392186911842636,-42.76293460891462
-62.77461210390709,-45.98185213188101,-38.00881714934094,-35.091268811979425,-46.35788974897922,-40.36293269385041,-42.95005714279831
-110.0,-45.18792723406959,-38.09198913949835,-35.081249418008284,-46.58071526367765,-40.47749101929909,-42.77444250988441
-110.0,-45.73355725200064,-38.1296466337366,-35.1372920691752,-47.32878226244419,-40.614629132800886,-42.723195725749925
-66.073909490748,-45.46309099363876,-38.0844400970357,-35.22937027546909,-46.624635883501895,-40.669760414357654,-42.699525771632956
-58.81971203994631,-46.05395536037919,-38.102461383819914,-35.240411062899035,-46.447861608805496,-40.632928574709695,-42.57159792756152
-110.0,-47.06127890007815,-38.23049390096514,-35.2173708805832,-46.816929640213914,-40.69813997088576,-42.65907740720315
-110.0,-46.59785966533141,-38.17665999784526,-35.26896920166513,-46.939647504472376,-40.76130333793429,-42.61452727909254
-58.79563050682532,-46.03443666685915,-38.1215316232163,-35.2402756522165,-46.53291709366938,-40.777422698471014,-42.7970884001519
-55.89899656971468,-45.92740242454684,-38.049065526993246,-35.19871208898165,-45.972631101634846,-40.79018143588055,-42.73042768522836
-62.36484741558698,-45.86774246516016,-38.031485708930994,-35.14196818013943,-46.402824710249305,-40.689497559143206,-43.00781988944344
-110.0,-46.41034490427998,-38.05503676709121,-35.12283608117454,-47.350923511906785,-40.669760414357654,-42.82202163082401
-110.0,-46.013764316290846,-38.03479660707954,-35.079412276406785,-46.75598729837188,-40.580071201558745,-42.460143157946405
-54.807067187619126,-45.73355725340413,-38.03479660707954,-35.12283608102619,-46.41935358198262,-40.52267649088847,-42.6978408732386
-110.0,-45.4521790297232,-38.28652544599105,-35.03100956358481,-47.60887191876604,-40.70996148997693,-42.94482308326885
-110.0,-46.03443666685915,-38.21238762960328,-35.06428493353016,-46.74976396116175,-40.62041561767334,-42.861859840486495
-110.0,-45.914528104841025,-38.09160184778614,-35.04771155163084,-46.85351802926465,-40.669760414357654,-42.861859840486495
-110.0,-45.555571320504,-38.12749888013171,-35.04771155163084,-46.86596332321484,-40.669760414357654,-43.01457387037477
-110.0,-45.95724013826586,-38.273339965160524,-35.071347817718575,-47.4621688233274,-40.67639363841836,-42.50029541054546
-53.06246129847392,-45.58391436412211,-38.24083655122837,-35.12411294136062,-47.087093238607764,-40.761303337436,-42.714274851288714
-56.87970213231486,-46.605604330594474,-38.257475589459276,-35.251019751296525,-47.087093238607764,-40.66763544722776,-42.714274851288714
-60.85059287929958,-46.235528756525966,-38.207822135294116,-35.251019751296525,-46.926135458503154,-40.58007120130811,-42.59976079074256
-57.75433711925383,-45.627434263212265,-38.264040059813325,-35.18811700874677,-46.88895969885823,-40.58007120130811,-42.96417659418016
-110.0,-45.452179027427746,-38.19235491142943,-35.06068897666488,-46.66867962732441,-40.58007120130811,-42.86185984093842
-110.0,-45.87288814292543,-38.13469875288769,-35.02296946644715,-46.98517267096079,-40.58007120130811,-43.014573870432756
-59.440721221729746,-46.16331981915812,-38.16664410427065,-35.02296946644715,-46.839671758320705,-40.44166627801162,-43.01457387086064
-110.0,-46.24531523861354,-38.185545842472315,-35.037614421375984,-46.69375351430146,-40.594911497133054,-42.75205095865054
-110.0,-45.95177825679316,-38.21165845275047,-35.08650276279923,-46.92535096326077,-40.55171461181396,-43.08254212210176
-110.0,-45.82167490323877,-38.236953196464476,-35.09048060168343,-46.585511458004675,-40.59278662296247,-43.4095415436611
-110.0,-46.346713492794265,-38.236953196464476,-35.08511545564695,-46.51101532525152,-40.75034088379435,-43.41034150573998
-110.0,-45.83325760638262,-38.223179363916444,-35.15982182656745,-47.087093238607764,-40.80068240509326,-43.13749707250369
